,citybike_index,name,review_count,rating,distance,categories_names
126,9,Gwendolyn Macewen,1.0,5.0,1071.1657865440916,parks
127,9,K9 Fun zone,4.0,4.0,84616.90377231856,dog_parks
128,9,Norman Jewison Park,2.0,3.5,1277.2944750854772,parks
129,9,Town Hall Square,1.0,4.0,748.721360835405,parks
130,9,Forest Hill Road Parkette,1.0,4.0,581.6915251245731,parks
131,9,George Hislop Park,2.0,3.0,1204.3461985713202,parks
132,9,Asquith Green Parkette,3.0,2.5,1052.950730369485,parks
133,9,William Arthur Parks Historical Marker,1.0,3.0,889.4144276845949,landmarks
134,9,King Edward VII Equestrian Statue,1.0,3.0,783.6657530232906,landmarks
135,9,Rosehill Reservoir,2.0,2.0,1036.009778118689,parks
136,9,Frank Stollery Parkette,1.0,3.0,693.0608362246726,parks
137,9,James Canning Gardens,1.0,5.0,1361.0403684745363,parks
138,9,City Sniffers,4.0,5.0,11936.443958392329,dogwalkers
139,10,Yorkville Park,3.0,4.0,392.0707011282856,parks
140,10,Budd Sugarman Park,1.0,3.0,456.62933383471,parks
141,10,Queen's Park,32.0,4.5,955.228392590702,parks
142,10,Ramsden Park,8.0,4.0,523.0835727827628,tennis
143,10,Norman Jewison Park,2.0,3.5,581.7605773689959,parks
144,10,Green Space On Church,1.0,5.0,832.7896559903082,parks
145,10,Taddle Creek Park,1.0,5.0,885.416496120865,parks
146,10,Town Hall Square,1.0,4.0,13.898813292953566,parks
147,10,K9 Fun zone,4.0,4.0,84722.28976718726,dog_parks
148,10,Barbara Hall Park,6.0,3.5,832.7896559903082,parks
149,10,Lillian McGregor Park,2.0,2.5,846.9197555790706,parks
150,10,Asquith Green Parkette,3.0,2.5,308.21980908240846,parks
151,10,George Hislop Park,2.0,3.0,506.695435744916,parks
152,10,Forest Hill Road Parkette,1.0,4.0,1248.1949951767238,parks
153,10,Alexander Street Parkette,2.0,3.0,1048.2672748352347,parks
154,10,48th Highlanders of Canada Regimental Memorial,1.0,5.0,795.8859903317723,landmarks
155,10,Rosehill Reservoir,2.0,2.0,273.6677519669847,parks
156,10,Frank Stollery Parkette,1.0,3.0,92.83688928046736,parks
157,10,William Arthur Parks Historical Marker,1.0,3.0,698.0656193780051,landmarks
158,10,King Edward VII Equestrian Statue,1.0,3.0,566.7095013112303,landmarks
159,11,Corktown Common,13.0,4.0,778.6422312793914,playgrounds
160,11,Riverdale Park West,10.0,5.0,856.4795377309813,dog_parks
161,11,The Don River,1.0,5.0,498.0020302859713,parks
162,11,Riverdale Farm,44.0,4.5,964.8662122424436,zoos
