,index,empty_slots,free_bikes,name,latitude,longitude,ll
362,362,10,36,Toronto Inukshuk Park,43.6323994,-79.40978179999999,"43.6323994,-79.40978179999999"
363,363,9,6,Cosburn Ave / Durant Ave,43.6935477,-79.3301658,"43.6935477,-79.3301658"
364,364,7,7,Swansea Community Centre,43.6438036,-79.4770327,"43.6438036,-79.4770327"
365,365,12,7,Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,"43.65246,-79.413528"
366,366,10,4,Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,"43.6548521,-79.35397680000001"
367,367,8,15,The Queensway / High St,43.630874,-79.482407,"43.630874,-79.482407"
368,368,8,5,Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,"43.6704403,-79.45328549999999"
369,369,13,7,Front St E / Bayview Avenue,43.6535,-79.354068,"43.6535,-79.354068"
370,370,14,13,Oak St / Sumach St,43.6617908,-79.361515,"43.6617908,-79.361515"
371,371,12,6,The Esplanade / Hahn Pl,43.649709,-79.364184,"43.649709,-79.364184"
372,372,21,23,439 Sherbourne St,43.666051,-79.374161,"43.666051,-79.374161"
373,373,16,2,Glebe Rd W / Yonge St,43.7005976,-79.397345,"43.7005976,-79.397345"
374,374,13,0,Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,"43.7029672,-79.3979073"
375,375,10,9,Alvin Ave / St Clair Ave E,43.68871,-79.39264,"43.68871,-79.39264"
376,376,17,5,Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,"43.6834703,-79.5108942"
377,377,22,5,The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,"43.7696262,-79.5025943"
378,378,18,8,Sentinel Rd / Finch Corridor Trail,43.7641485,-79.5012809,"43.7641485,-79.5012809"
379,379,20,0,Finch West Subway Station,43.76521,-79.491281,"43.76521,-79.491281"
380,380,8,10,Dufferin St / Finch Corridor Trail,43.7724019,-79.4675395,"43.7724019,-79.4675395"
381,381,14,5,G Ross Lord Park,43.7781116,-79.467963,"43.7781116,-79.467963"
382,382,21,2,Elwood Blvd / Avenue Rd,43.707049,-79.40966,"43.707049,-79.40966"
383,383,26,1,Roehampton Ave / Bayview Ave,43.711751,-79.378615,"43.711751,-79.378615"
384,384,12,3,Teddington Park Ave,43.732975,-79.40401,"43.732975,-79.40401"
385,385,1,18,Ursula Franklin St / Huron St - SMART,43.660274,-79.398049,"43.660274,-79.398049"
386,386,11,8,Woodbine Ave / O'Connor Dr,43.699281,-79.318802,"43.699281,-79.318802"
387,387,3,16,Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,"43.696631,-79.297436"
388,388,6,16,Queen St W / John St,43.650077,-79.391291,"43.650077,-79.391291"
389,389,11,8,Fairmount Park,43.6765897,-79.3163022,"43.6765897,-79.3163022"
390,390,3,11,Richmond St W / York St,43.650745,-79.383633,"43.650745,-79.383633"
391,391,16,11,Sunnybrook Park,43.720233,-79.362092,"43.720233,-79.362092"
392,392,15,4,Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,"43.6926825,-79.441042"
393,393,11,3,Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,"43.7041957,-79.4094472"
394,394,12,2,Eglinton Ave E / Redpath Ave,43.7078691,-79.39248,"43.7078691,-79.39248"
395,395,8,14,Marie Curtis Park,43.5880774,-79.5432067,"43.5880774,-79.5432067"
396,396,10,1,Guildwood GO Station (South),43.754978,-79.1971289,"43.754978,-79.1971289"
397,397,11,8,Chorley Park - SMART,43.6856,-79.3718,"43.6856,-79.3718"
398,398,32,16,Cherry Beach,43.637764,-79.345359,"43.637764,-79.345359"
399,399,15,19,Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,"43.6629228,-79.4018451"
400,400,5,11,Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,"43.660296,-79.397107"
401,401,19,6,Rouge Hill GO Station,43.7805505,-79.1301203,"43.7805505,-79.1301203"
402,402,9,10,Colonel Danforth Park,43.7777114,-79.1659711,"43.7777114,-79.1659711"
403,403,18,4,Morningside Park (Highland Creek Trail),43.779353,-79.193023,"43.779353,-79.193023"
404,404,14,5,Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,"43.747854,-79.199327"
405,405,7,11,Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,"43.7561681,-79.2026694"
406,406,5,17,Twelfth St / Thirteenth St,43.6002896,-79.5108692,"43.6002896,-79.5108692"
407,407,3,12,Florence Gell Park,43.6615467,-79.498398,"43.6615467,-79.498398"
408,408,17,0,Wallace Ave / Pauline Ave,43.6632257,-79.4397052,"43.6632257,-79.4397052"
409,409,13,2,Kingston Rd / Beech Ave,43.680095,-79.291714,"43.680095,-79.291714"
410,410,9,9,Victoria Park Ave / Danforth Ave,43.691468,-79.288619,"43.691468,-79.288619"
411,411,38,3,Union Station,43.645609,-79.380386,"43.645609,-79.380386"
412,412,15,6,Hayter St / La Plante Ave,43.6591666666667,-79.3855555555556,"43.6591666666667,-79.3855555555556"
413,413,15,16,Seaton St / Dundas St E - SMART,43.658777,-79.369596,"43.658777,-79.369596"
414,414,8,7,Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,"43.6625395,-79.5030161"
415,415,15,0,Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,"43.7004017,-79.4275305"
416,416,11,4,Torresdale Ave / Antibes Dr,43.77953,-79.45233,"43.77953,-79.45233"
417,417,21,2,Esther Shiner Stadium,43.7774374,-79.4447096,"43.7774374,-79.4447096"
418,418,3,9,St. George St / Hoskin Ave,43.6637403,-79.39806449999999,"43.6637403,-79.39806449999999"
419,419,14,1,Fleming Cres / Bayview Ave,43.707045,-79.375437,"43.707045,-79.375437"
420,420,2,16,King St E / Victoria St,43.6495789,-79.3762096,"43.6495789,-79.3762096"
421,421,14,1,Alameda Ave / Vaughan Rd - SMART,43.690903,-79.4375028,"43.690903,-79.4375028"
422,422,13,2,Adelaide St W / Strachan Ave,43.643253094827294,-79.41230469904167,"43.643253094827294,-79.41230469904167"
423,423,2,17,Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,"43.6029904,-79.4926867"
424,424,11,3,Runnymede Rd / Annette St,43.6596299,-79.4799176,"43.6596299,-79.4799176"
425,425,6,7,Salem Ave / Bloor St W,43.6608333,-79.43166666666667,"43.6608333,-79.43166666666667"
426,426,9,13,Dufferin St / Bloor St W,43.66083333333333,-79.43583333333333,"43.66083333333333,-79.43583333333333"
427,427,3,16,Davisville Ave / Pailton Cres,43.69933,-79.39199,"43.69933,-79.39199"
428,428,4,11,High Park Ave / Dundas St W,43.6653032,-79.4701178,"43.6653032,-79.4701178"
429,429,1,17,Judson St / Royal York Rd,43.6162721,-79.4990363,"43.6162721,-79.4990363"
430,430,24,3,Wilket Creek Park,43.720645,-79.355474,"43.720645,-79.355474"
431,431,11,4,Annette St / Dundas St W,43.6641174,-79.4588522,"43.6641174,-79.4588522"
432,432,2,13,Noble St / Queen St W,43.6424558,-79.4296346,"43.6424558,-79.4296346"
433,433,19,0,Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,"43.6954486,-79.4026176"
434,434,6,9,East Lynn Ave / Danforth Ave,43.6850809,-79.3149901,"43.6850809,-79.3149901"
435,435,15,1,Langford Ave / Danforth Ave - SMART,43.6800218,-79.3405681,"43.6800218,-79.3405681"
436,436,16,0,University of Toronto Scarborough,43.7842419,-79.1849889,"43.7842419,-79.1849889"
437,437,4,11,190 Queens Quay E,43.6451308,-79.36536439999999,"43.6451308,-79.36536439999999"
438,438,6,13,324 Cherry St,43.6482995,-79.3552533,"43.6482995,-79.3552533"
439,439,8,9,Elm St/ University Ave (East Side),43.65637299999999,-79.38781039999999,"43.65637299999999,-79.38781039999999"
440,440,4,16,Walton St / Elizabeth St - SMART,43.657838,-79.38631,"43.657838,-79.38631"
441,441,12,4,Waterfront Trail (Rouge Hill),43.778015,-79.131911,"43.778015,-79.131911"
442,442,21,2,St Clair Ave W / Gunns Rd,43.672079,-79.470171,"43.672079,-79.470171"
443,443,10,9,Pape Ave / Gamble Ave,43.690237,-79.350119,"43.690237,-79.350119"
444,444,18,0,Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,"43.70942,-79.39139"
445,445,10,4,Church St / Bloor St E,43.671389,-79.382919,"43.671389,-79.382919"
446,446,18,3,200 Bloor St E,43.671561,-79.38117,"43.671561,-79.38117"
447,447,9,0,Bloor St W / Balmuto St,43.669903,-79.387802,"43.669903,-79.387802"
448,448,12,2,Moore Park,43.693256,-79.383238,"43.693256,-79.383238"
449,449,2,4,Bloor St W / Pacific Ave,43.65412449999999,-79.4636388,"43.65412449999999,-79.4636388"
450,450,9,6,Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,"43.680207,-79.339243"
451,451,9,1,Bloor St W / Brock Ave,43.6589882,-79.438715,"43.6589882,-79.438715"
452,452,16,0,Davenport Rd / Dovercourt Rd - SMART,43.6741219,-79.4352208,"43.6741219,-79.4352208"
453,453,2,12,1 Market St - SMART,43.6469928,-79.3706665,"43.6469928,-79.3706665"
454,454,3,20,Brick Works,43.683884,-79.36647,"43.683884,-79.36647"
455,455,3,13,University Ave / Gerrard St W (WEST) - SMART,43.6578449,-79.3899265,"43.6578449,-79.3899265"
456,456,3,18,University Ave / King St W - SMART,43.6477785,-79.3847928,"43.6477785,-79.3847928"
457,457,19,0,Amroth Ave / Danforth Ave,43.6856128,-79.31168269999999,"43.6856128,-79.31168269999999"
458,458,3,7,Summerhill Subway Station,43.681944,-79.390556,"43.681944,-79.390556"
459,459,18,6,Niagara St / Richmond St W,43.64534,-79.409597,"43.64534,-79.409597"
460,460,8,11,Beaty Ave / Queen St W,43.6393107,-79.4408141,"43.6393107,-79.4408141"
461,461,14,8,Blantyre Park,43.68306889999999,-79.279682,"43.68306889999999,-79.279682"
462,462,2,12,Queen St E / Rushbrooke Ave,43.6626628,-79.3323698,"43.6626628,-79.3323698"
463,463,11,4,Donlands Subway Station,43.681114,-79.3373885,"43.681114,-79.3373885"
464,464,7,6,Lynn Williams St / East Liberty St - SMART,43.638925,-79.4168659,"43.638925,-79.4168659"
465,465,6,8,Eastwood Rd / Woodbine Ave - SMART,43.676216,-79.309395,"43.676216,-79.309395"
466,466,0,21,Victoria St / Queen St E,43.652822,-79.378208,"43.652822,-79.378208"
467,467,11,27,285 Victoria St,43.656633,-79.379625,"43.656633,-79.379625"
468,468,12,4,Gerrard St E / Victoria Park Ave - SMART,43.686962,-79.286864,"43.686962,-79.286864"
469,469,14,3,Kilgour Rd / Rumsey Rd,43.718039,-79.371914,"43.718039,-79.371914"
470,470,10,4,Bay St / Scollard St,43.672152,-79.39018,"43.672152,-79.39018"
471,471,15,4,Weston Rd / St Clair Ave W - SMART,43.673019,-79.467994,"43.673019,-79.467994"
472,472,14,1,Sunnybrook Health Centre - L Wing,43.72268,-79.37644,"43.72268,-79.37644"
473,473,15,11,Dundas St W / St Helen's Ave - SMART,43.6504218,-79.4407647,"43.6504218,-79.4407647"
474,474,14,4,Yonge St / St Clair Ave,43.68850459999999,-79.3940052,"43.68850459999999,-79.3940052"
475,475,15,15,Spadina Ave / Blue Jays Way,43.641705,-79.393295,"43.641705,-79.393295"
