,citybike_index,empty_slots,free_bikes,num_parks,ave_dis_park,num_plygrd,ave_dis_plygrd,num_sr,ave_dis_sr,med_rating,med_review
98,98,22.0,0.0,6.0,654.1666666666666,0.6931471805599453,116.0,0.6931471805599453,908.0,4.25,0.9162907318741551
99,99,6.0,2.302585092994046,3.0,686.0,1.3862943611198906,618.3333333333334,0.6931471805599453,838.0,4.0,1.6094379124341003
100,100,2.0,1.3862943611198906,3.0,660.3333333333334,0.0,,1.0986122886681098,685.0,3.75,1.8718021769015913
101,101,9.0,2.3978952727983707,5.0,458.0,0.6931471805599453,174.0,0.0,,3.5,2.0794415416798357
102,102,9.0,2.302585092994046,2.0,585.5,0.0,,0.0,,3.75,3.1780538303479458
103,103,12.0,1.9459101490553132,4.0,480.0,0.0,,1.3862943611198906,550.6666666666666,3.5,2.1972245773362196
104,104,6.0,2.6390573296152584,5.0,543.0,1.0986122886681098,652.0,0.0,,4.25,2.302585092994046
105,105,9.0,2.1972245773362196,5.0,565.4,1.6094379124341003,385.75,0.6931471805599453,858.0,3.0,1.3862943611198906
106,106,10.0,2.1972245773362196,5.0,627.8,1.0986122886681098,473.5,0.6931471805599453,935.0,4.0,3.044522437723423
107,107,4.0,1.6094379124341003,6.0,698.5,1.0986122886681098,738.5,0.6931471805599453,686.0,4.5,2.70805020110221
108,108,27.0,0.0,6.0,457.8333333333333,1.0986122886681098,499.5,0.6931471805599453,212.0,4.0,2.5649493574615367
109,109,9.0,2.8903717578961645,5.0,388.4,0.6931471805599453,57.0,0.6931471805599453,465.0,4.0,3.091042453358316
110,110,6.0,3.044522437723423,1.0,889.0,0.0,,0.0,,3.75,1.8718021769015913
111,111,1.0,2.5649493574615367,6.0,370.0,1.3862943611198906,339.6666666666667,1.3862943611198906,314.6666666666667,3.75,2.2512917986064953
112,112,6.0,2.302585092994046,4.0,439.75,1.3862943611198906,617.3333333333334,0.6931471805599453,184.0,4.0,1.6094379124341003
113,113,15.0,2.5649493574615367,3.0,489.3333333333333,0.6931471805599453,394.0,0.0,,3.75,1.6094379124341003
114,114,13.0,1.0986122886681098,3.0,623.3333333333334,1.0986122886681098,764.5,0.0,,3.75,1.6094379124341003
