,fsq_id,category_name
3947,4ae33298f964a520909121e3,Non-Profit Organization
3948,4ae33298f964a520909121e3,Park
3949,4ae33298f964a520909121e3,Sports and Recreation
3950,4adb7f2cf964a520342821e3,Park
3951,4e0e32ff1f6e9964ea20ab45,Park
3952,4da4c544b3e7236ab4b04d79,Playground
3953,4e0e4603d4c0f6d6b3f8a125,Playground
3954,50e23112e4b0c970954f2021,Dog Park
3955,4eb07e62d3e36bac66a437bf,Park
3956,4bb2a2bf715eef3b0b8b85bb,Playground
3957,5013541de4b06bc0bd6011e0,Historic and Protected Site
3958,4fe6221ae4b0af2e6759320a,Park
3959,4ad4c05ef964a520bdf620e3,Park
3960,4b62440bf964a520653f2ae3,Rock Climbing Spot
3961,56a53fe8498eb28bdf324640,Park
3962,4e0e32ff1f6e9964ea20ab45,Park
3963,4ba42b7bf964a520968838e3,Real Estate Agency
3964,4ba42b7bf964a520968838e3,Park
3965,4c56d6c16418a593e5eb7d0e,Playground
3966,4a8b2742f964a520960b20e3,Park
3967,4a8b2742f964a520960b20e3,Grocery Store
3968,4cf86dd04464b60c7f8160f8,Park
3969,4b6b2b8df964a5203df72be3,Coworking Space
3970,4b6b2b8df964a5203df72be3,Farm
3971,4bcb9d86937ca59384ffa992,Park
3972,531cb8bc498ed8c755273cf1,Park
3973,4cc9ea67bfe1f04d3fd91075,Dog Park
3974,4bb66de32f70c9b6b0678530,Arts and Entertainment
3975,4bb66de32f70c9b6b0678530,Playground
3976,4bb66de32f70c9b6b0678530,Sports and Recreation
3977,531cb63e498e0ba3d0d53484,Park
3978,4ba2509ff964a5207eec37e3,Park
3979,4d8fe809cb9b224bd1c3a541,Park
3980,4bc3505c461576b06e707e32,Playground
3981,4e6e866462e14570896f9ef5,Dog Park
3982,4da12cd2bf22a143a77a96f8,Dog Park
3983,5069b6cbe4b0d34396cab1ea,Playground
3984,4af6de52f964a520b20322e3,Park
3985,4c0960fb009a0f472fabe7bf,Park
3986,4c030bf9f423a5938bc3cf16,Urban Park
3987,4b0afc19f964a520212b23e3,Landmarks and Outdoors
3988,4b0afc19f964a520212b23e3,Sports and Recreation
3989,4ef8f2a3775b54cdb5bdec7c,Hiking Trail
3990,504d7042e4b0548542acb24b,Bridge
3991,4efb44eb6c25c411eea792be,Hiking Trail
3992,50298a40e4b05f0c00609f7b,Garden
3993,4c47160419fde21e11310776,Garden
3994,4d1e415e0901721e636d80a5,Park
3995,4ad4c05ef964a520bdf620e3,Park
3996,4c34e9f7a0ced13a96fb186e,Dog Park
3997,4d31ecf26c7c721e40e7aa56,Dog Park
3998,4b968fd3f964a520dfd434e3,Park
3999,4b968fd3f964a520dfd434e3,Sports and Recreation
4000,4ad4c05ef964a5209cf620e3,Historic and Protected Site
4001,4ba42b7bf964a520968838e3,Real Estate Agency
4002,4ba42b7bf964a520968838e3,Park
4003,4c56d6c16418a593e5eb7d0e,Playground
4004,4a8b2742f964a520960b20e3,Park
4005,4a8b2742f964a520960b20e3,Grocery Store
4006,4bfc5019da7120a132df49fd,Park
4007,4bfc5019da7120a132df49fd,Sports and Recreation
4008,558eaaf3498eba5b21951e6d,Playground
4009,4c24abfcf7ced13aa425236d,Landmarks and Outdoors
4010,4bf1cb4652bda593dffbb1b7,Playground
